collection_name,k,recall,recall@1,recall@2,recall@3,precision,precision@1,precision@2,precision@3,average_precision,retrieval_count
PC_100_multilingual_e5_base,3,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,5,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,9,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,11,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,13,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,15,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,17,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_base,19,0.6666666666666666,0.48148148148148145,0.5555555555555556,0.6111111111111112,0.3688271604938272,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5478395061728395,3.574074074074074
PC_100_multilingual_e5_small,3,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,5,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,9,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,11,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,13,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,15,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,17,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_multilingual_e5_small,19,0.5,0.3333333333333333,0.4444444444444444,0.5,0.29012345679012347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.396604938271605,3.388888888888889
PC_100_text_embedding_3_large,3,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,5,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,9,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,11,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,13,0.42592592592592593,0.3148148148148148,0.35185185185185186,0.4074074074074074,0.25771604938271603,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.353395061728395,3.425925925925926
PC_100_text_embedding_3_large,15,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,17,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_large,19,0.4074074074074074,0.3148148148148148,0.35185185185185186,0.3888888888888889,0.25154320987654316,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.3472222222222222,3.425925925925926
PC_100_text_embedding_3_small,3,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,5,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,9,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,11,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,13,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,15,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,17,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_3_small,19,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2962962962962963,0.20679012345679013,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2772633744855967,3.462962962962963
PC_100_text_embedding_ada_002,3,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,5,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,9,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,11,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,13,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,15,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,17,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_100_text_embedding_ada_002,19,0.35185185185185186,0.24074074074074073,0.2962962962962963,0.3333333333333333,0.20216049382716048,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.2839506172839506,3.611111111111111
PC_300_100_multilingual_e5_base,3,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,5,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,9,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,11,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,13,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,15,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
PC_300_100_multilingual_e5_base,17,0.6851851851851852,0.6296296296296297,0.6481481481481481,0.6851851851851852,0.4305555555555556,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6466049382716049,2.962962962962963
